Indicator Code: CG1480
"Indicator Name: Injuries"
Export date: 1/14/2024 11:40:01 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: V01-Y89 (minus X41-X42, X44-X45), U12.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,POL,Poland,2020,All,Age00,[0],29.00000000,2.28346457,,8.03017129,
EU,Europe,POL,Poland,2020,All,Age01_04,[1-4],34.00000000,16.42512077,,2.18770651,
EU,Europe,POL,Poland,2020,All,Age05_09,[5-9],30.00000000,19.60784314,,1.56677681,
EU,Europe,POL,Poland,2020,All,Age10_14,[10-14],93.00000000,45.14563107,,4.58950120,
EU,Europe,POL,Poland,2020,All,Age15_19,[15-19],428.00000000,66.77067083,,24.04733504,
EU,Europe,POL,Poland,2020,All,Age20_24,[20-24],781.00000000,64.97504160,,39.26491652,
EU,Europe,POL,Poland,2020,All,Age25_29,[25-29],963.00000000,54.22297297,,39.20556418,
EU,Europe,POL,Poland,2020,All,Age30_34,[30-34],1115.00000000,38.87726639,,39.55423968,
EU,Europe,POL,Poland,2020,All,Age35_39,[35-39],1378.00000000,29.07786453,,43.91618955,
EU,Europe,POL,Poland,2020,All,Age40_44,[40-44],1331.00000000,19.87753883,,44.64953636,
EU,Europe,POL,Poland,2020,All,Age45_49,[45-49],1387.00000000,14.86443039,,53.34059412,
EU,Europe,POL,Poland,2020,All,Age50_54,[50-54],1266.00000000,9.38820912,,56.50307554,
EU,Europe,POL,Poland,2020,All,Age55_59,[55-59],1446.00000000,6.58350027,,62.20740793,
EU,Europe,POL,Poland,2020,All,Age60_64,[60-64],1648.00000000,4.12360816,,61.02040333,
EU,Europe,POL,Poland,2020,All,Age65_69,[65-69],1472.00000000,2.64543608,,59.43973207,
EU,Europe,POL,Poland,2020,All,Age70_74,[70-74],1101.00000000,1.87391497,,59.94234429,
EU,Europe,POL,Poland,2020,All,Age75_79,[75-79],848.00000000,1.69474589,,82.70556429,
EU,Europe,POL,Poland,2020,All,Age80_84,[80-84],1196.00000000,1.73393644,,135.73094405,
EU,Europe,POL,Poland,2020,All,Age85_over,[85+],2588.00000000,1.85596879,,313.81298541,
