Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 1/13/2024 7:08:04 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,POL,Poland,2020,All,Age00,[0],3.00000000,0.23622047,,0.83070738,
EU,Europe,POL,Poland,2020,All,Age01_04,[1-4],2.00000000,0.96618357,,0.12868862,
EU,Europe,POL,Poland,2020,All,Age05_09,[5-9],3.00000000,1.96078431,,0.15667768,
EU,Europe,POL,Poland,2020,All,Age10_14,[10-14],2.00000000,0.97087379,,0.09869895,
EU,Europe,POL,Poland,2020,All,Age15_19,[15-19],15.00000000,2.34009360,,0.84278043,
EU,Europe,POL,Poland,2020,All,Age20_24,[20-24],31.00000000,2.57903494,,1.55853062,
EU,Europe,POL,Poland,2020,All,Age25_29,[25-29],99.00000000,5.57432432,,4.03047856,
EU,Europe,POL,Poland,2020,All,Age30_34,[30-34],210.00000000,7.32217573,,7.44967743,
EU,Europe,POL,Poland,2020,All,Age35_39,[35-39],476.00000000,10.04431315,,15.16988841,
EU,Europe,POL,Poland,2020,All,Age40_44,[40-44],953.00000000,14.23237754,,31.96920222,
EU,Europe,POL,Poland,2020,All,Age45_49,[45-49],1550.00000000,16.61129568,,59.60917151,
EU,Europe,POL,Poland,2020,All,Age50_54,[50-54],2745.00000000,20.35595106,,122.51259269,
EU,Europe,POL,Poland,2020,All,Age55_59,[55-59],4887.00000000,22.25004553,,210.24038904,
EU,Europe,POL,Poland,2020,All,Age60_64,[60-64],10454.00000000,26.15788815,,387.07967013,
EU,Europe,POL,Poland,2020,All,Age65_69,[65-69],16114.00000000,28.95961756,,650.68739304,
EU,Europe,POL,Poland,2020,All,Age70_74,[70-74],18905.00000000,32.17653266,,1029.25523950,
EU,Europe,POL,Poland,2020,All,Age75_79,[75-79],17951.00000000,35.87545217,,1750.76366100,
EU,Europe,POL,Poland,2020,All,Age80_84,[80-84],29382.00000000,42.59742519,,3334.48712200,
EU,Europe,POL,Poland,2020,All,Age85_over,[85+],70617.00000000,50.64256106,,8562.80200560,
