Indicator Code: CG0600
"Indicator Name: Malignant neoplasms"
Export date: 1/13/2024 5:33:09 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C00-C97"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,POL,Poland,2020,All,Age00,[0],8.00000000,0.62992126,,2.21521967,
EU,Europe,POL,Poland,2020,All,Age01_04,[1-4],39.00000000,18.84057971,,2.50942805,
EU,Europe,POL,Poland,2020,All,Age05_09,[5-9],50.00000000,32.67973856,,2.61129469,
EU,Europe,POL,Poland,2020,All,Age10_14,[10-14],42.00000000,20.38834951,,2.07267796,
EU,Europe,POL,Poland,2020,All,Age15_19,[15-19],51.00000000,7.95631825,,2.86545347,
EU,Europe,POL,Poland,2020,All,Age20_24,[20-24],80.00000000,6.65557404,,4.02201450,
EU,Europe,POL,Poland,2020,All,Age25_29,[25-29],134.00000000,7.54504505,,5.45539522,
EU,Europe,POL,Poland,2020,All,Age30_34,[30-34],271.00000000,9.44909344,,9.61363135,
EU,Europe,POL,Poland,2020,All,Age35_39,[35-39],588.00000000,12.40768095,,18.73927392,
EU,Europe,POL,Poland,2020,All,Age40_44,[40-44],1098.00000000,16.39784946,,36.83335156,
EU,Europe,POL,Poland,2020,All,Age45_49,[45-49],1837.00000000,19.68706462,,70.64648262,
EU,Europe,POL,Poland,2020,All,Age50_54,[50-54],3365.00000000,24.95365221,,150.18392510,
EU,Europe,POL,Poland,2020,All,Age55_59,[55-59],6587.00000000,29.98998361,,283.37496268,
EU,Europe,POL,Poland,2020,All,Age60_64,[60-64],12628.00000000,31.59764794,,467.57624588,
EU,Europe,POL,Poland,2020,All,Age65_69,[65-69],17738.00000000,31.87822368,,716.26492353,
EU,Europe,POL,Poland,2020,All,Age70_74,[70-74],17362.00000000,29.55032849,,945.24884784,
EU,Europe,POL,Poland,2020,All,Age75_79,[75-79],12548.00000000,25.07744269,,1223.80827910,
EU,Europe,POL,Poland,2020,All,Age80_84,[80-84],12308.00000000,17.84388773,,1396.80305960,
EU,Europe,POL,Poland,2020,All,Age85_over,[85+],13117.00000000,9.40677845,,1590.52740710,
