Indicator Code: CG0380
"Indicator Name: Respiratory infections"
Export date: 1/13/2024 5:35:46 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: H65-H66, J00-J22,  P23, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,POL,Poland,2020,All,Age00,[0],35.00000000,2.75590551,,9.69158604,
EU,Europe,POL,Poland,2020,All,Age01_04,[1-4],15.00000000,7.24637681,,0.96516463,
EU,Europe,POL,Poland,2020,All,Age05_09,[5-9],8.00000000,5.22875817,,0.41780715,
EU,Europe,POL,Poland,2020,All,Age10_14,[10-14],12.00000000,5.82524272,,0.59219370,
EU,Europe,POL,Poland,2020,All,Age15_19,[15-19],35.00000000,5.46021841,,1.96648768,
EU,Europe,POL,Poland,2020,All,Age20_24,[20-24],58.00000000,4.82529118,,2.91596051,
EU,Europe,POL,Poland,2020,All,Age25_29,[25-29],95.00000000,5.34909910,,3.86763094,
EU,Europe,POL,Poland,2020,All,Age30_34,[30-34],192.00000000,6.69456067,,6.81113365,
EU,Europe,POL,Poland,2020,All,Age35_39,[35-39],363.00000000,7.65984385,,11.56863339,
EU,Europe,POL,Poland,2020,All,Age40_44,[40-44],546.00000000,8.15412186,,18.31603821,
EU,Europe,POL,Poland,2020,All,Age45_49,[45-49],802.00000000,8.59500589,,30.84293906,
EU,Europe,POL,Poland,2020,All,Age50_54,[50-54],1240.00000000,9.19540230,,55.34266482,
EU,Europe,POL,Poland,2020,All,Age55_59,[55-59],2249.00000000,10.23948279,,96.75273889,
EU,Europe,POL,Poland,2020,All,Age60_64,[60-64],4288.00000000,10.72938821,,158.77153487,
EU,Europe,POL,Poland,2020,All,Age65_69,[65-69],6746.00000000,12.12371727,,272.40518515,
EU,Europe,POL,Poland,2020,All,Age70_74,[70-74],8589.00000000,14.61857916,,467.61561768,
EU,Europe,POL,Poland,2020,All,Age75_79,[75-79],7965.00000000,15.91822052,,776.82761742,
EU,Europe,POL,Poland,2020,All,Age80_84,[80-84],10645.00000000,15.43290420,,1208.07349440,
EU,Europe,POL,Poland,2020,All,Age85_over,[85+],17570.00000000,12.60022088,,2130.48460340,
