Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 1/13/2024 8:27:59 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,POL,Poland,2020,All,Age00,[0],1270.00000000,100.00000000,,351.66612209,
EU,Europe,POL,Poland,2020,All,Age01_04,[1-4],207.00000000,100.00000000,,13.31927196,
EU,Europe,POL,Poland,2020,All,Age05_09,[5-9],153.00000000,100.00000000,,7.99056174,
EU,Europe,POL,Poland,2020,All,Age10_14,[10-14],206.00000000,100.00000000,,10.16599190,
EU,Europe,POL,Poland,2020,All,Age15_19,[15-19],641.00000000,100.00000000,,36.01481720,
EU,Europe,POL,Poland,2020,All,Age20_24,[20-24],1202.00000000,100.00000000,,60.43076781,
EU,Europe,POL,Poland,2020,All,Age25_29,[25-29],1776.00000000,100.00000000,,72.30434266,
EU,Europe,POL,Poland,2020,All,Age30_34,[30-34],2868.00000000,100.00000000,,101.74130889,
EU,Europe,POL,Poland,2020,All,Age35_39,[35-39],4739.00000000,100.00000000,,151.02962431,
EU,Europe,POL,Poland,2020,All,Age40_44,[40-44],6696.00000000,100.00000000,,224.62306197,
EU,Europe,POL,Poland,2020,All,Age45_49,[45-49],9331.00000000,100.00000000,,358.84721246,
EU,Europe,POL,Poland,2020,All,Age50_54,[50-54],13485.00000000,100.00000000,,601.85147993,
EU,Europe,POL,Poland,2020,All,Age55_59,[55-59],21964.00000000,100.00000000,,944.89869141,
EU,Europe,POL,Poland,2020,All,Age60_64,[60-64],39965.00000000,100.00000000,,1479.78180760,
EU,Europe,POL,Poland,2020,All,Age65_69,[65-69],55643.00000000,100.00000000,,2246.87840460,
EU,Europe,POL,Poland,2020,All,Age70_74,[70-74],58754.00000000,100.00000000,,3198.77610910,
EU,Europe,POL,Poland,2020,All,Age75_79,[75-79],50037.00000000,100.00000000,,4880.11594380,
EU,Europe,POL,Poland,2020,All,Age80_84,[80-84],68976.00000000,100.00000000,,7827.90768930,
EU,Europe,POL,Poland,2020,All,Age85_over,[85+],139442.00000000,100.00000000,,16908.31155800,
EU,Europe,POL,Poland,2020,All,Age_unknown,[Unknown],0.00000000,100.00000000,,,
